sample_id,source_video_id,window_id,noise_level,mean_bubble_count,max_bubble_count,std_bubble_count,continuity_ratio,mean_vertical_chain,temporal_variance,prev3_mean_bubble_count,prev3_std_bubble_count,prev3_continuity_ratio,prev3_mean_vertical_chain,leak_evolution,label
L_G12_PSI05_V001_W0012,L_G12_PSI05_V001,12,30,6.0,17.0,4.396968,0.9,4.4,19.333332,6.933333,3.258205,0.966667,2.733333,-0.933333,1
L_G12_PSI05_V001_W0013,L_G12_PSI05_V001,13,30,2.7,8.0,3.101532,0.9,2.1,9.619501,5.166667,3.602351,0.933333,2.833333,-2.466667,1
L_G12_PSI05_V001_W0014,L_G12_PSI05_V001,14,30,4.1,9.0,2.798474,1.0,2.7,7.831459,5.033333,3.642299,0.9,2.833333,-0.933333,1
L_G12_PSI05_V001_W0015,L_G12_PSI05_V001,15,30,3.9,7.0,3.373928,1.0,2.8,11.383393,4.266667,3.432325,0.933333,3.066667,-0.366667,1
L_G12_PSI05_V001_W0016,L_G12_PSI05_V001,16,30,8.6,14.0,5.081682,1.0,6.4,25.823492,3.566667,3.091312,0.966667,2.533333,5.033333,1
L_G12_PSI05_V001_W0017,L_G12_PSI05_V001,17,30,3.3,8.0,3.733512,1.0,2.4,13.939113,5.533333,3.751362,1.0,3.966667,-2.233333,1
L_G12_PSI05_V001_W0018,L_G12_PSI05_V001,18,30,5.8,10.0,2.044848,1.0,4.3,4.181405,5.266667,4.063041,1.0,3.866667,0.533333,1
L_G12_PSI05_V001_W0019,L_G12_PSI05_V001,19,30,7.1,11.0,2.758997,1.0,4.5,7.612065,5.9,3.620014,1.0,4.366667,1.2,1
L_G12_PSI05_V001_W0020,L_G12_PSI05_V001,20,30,7.3,10.0,2.837969,1.0,2.8,8.054068,5.4,2.845786,1.0,3.733333,1.9,1
L_G12_PSI05_V001_W0021,L_G12_PSI05_V001,21,30,6.8,15.0,3.58461,1.0,1.9,12.849429,6.733333,2.547272,1.0,3.866667,0.066667,1
L_G12_PSI05_V001_W0022,L_G12_PSI05_V001,22,30,4.7,8.0,2.848909,1.0,3.7,8.116285,7.066667,3.060525,1.0,3.066667,-2.366667,1
L_G12_PSI05_V001_W0023,L_G12_PSI05_V001,23,30,10.3,16.0,3.678004,1.0,3.9,13.527716,6.266667,3.090496,1.0,2.8,4.033333,1
L_G12_PSI05_V001_W0024,L_G12_PSI05_V001,24,30,7.4,12.0,4.42859,1.0,3.2,19.612413,7.266667,3.370508,1.0,3.166667,0.133333,1
L_G12_PSI05_V001_W0025,L_G12_PSI05_V001,25,30,3.2,10.0,3.203063,1.0,2.3,10.259612,7.466667,3.651835,1.0,3.6,-4.266667,1
L_G12_PSI05_V001_W0026,L_G12_PSI05_V001,26,30,7.6,14.0,2.752793,0.9,2.4,7.57787,6.966667,3.769886,1.0,3.133333,0.633333,1
L_G12_PSI05_V001_W0027,L_G12_PSI05_V001,27,30,3.4,10.0,2.953322,1.0,3.0,8.722113,6.066667,3.461482,0.966667,2.633333,-2.666667,1
L_G12_PSI05_V001_W0028,L_G12_PSI05_V001,28,30,4.1,6.0,2.501801,0.9,3.0,6.259008,4.733333,2.969726,0.966667,2.566667,-0.633333,1
L_G12_PSI05_V001_W0029,L_G12_PSI05_V001,29,30,4.1,13.0,4.429689,1.0,4.9,19.622141,5.033333,2.735972,0.933333,2.8,-0.933333,1
L_G12_PSI05_V001_W0030,L_G12_PSI05_V001,30,30,6.3,16.0,5.911353,1.0,3.1,34.944097,3.866667,3.294937,0.966667,3.633333,2.433333,1
L_G12_PSI05_V001_W0031,L_G12_PSI05_V001,31,30,11.7,15.0,2.952662,1.0,4.1,8.718215,4.833333,4.280948,0.966667,3.666667,6.866667,1
L_G12_PSI05_V001_W0032,L_G12_PSI05_V001,32,30,3.8,8.0,2.603428,1.0,4.2,6.77784,7.366667,4.431235,1.0,4.033333,-3.566667,1
L_G12_PSI05_V001_W0033,L_G12_PSI05_V001,33,30,0.7,6.0,1.704468,0.9,1.3,2.905212,7.266667,3.822481,1.0,3.8,-6.566667,1
L_G12_PSI05_V001_W0034,L_G12_PSI05_V001,34,30,2.9,12.0,3.553426,0.9,2.3,12.626836,5.4,2.420186,0.966667,3.2,-2.5,1
L_G12_PSI05_V001_W0035,L_G12_PSI05_V001,35,30,2.4,9.0,3.124886,1.0,2.4,9.764913,2.466667,2.620441,0.933333,2.6,-0.066667,1
L_G12_PSI05_V001_W0036,L_G12_PSI05_V001,36,30,0.3,3.0,1.900323,0.9,1.5,3.611228,2.0,2.79426,0.933333,2.0,-1.7,1
L_G12_PSI05_V001_W0037,L_G12_PSI05_V001,37,30,2.3,7.0,2.135604,0.7,1.7,4.560804,1.866667,2.859545,0.933333,2.066667,0.433333,0
L_G12_PSI05_V001_W0038,L_G12_PSI05_V001,38,30,2.4,7.0,2.194889,0.7,1.9,4.817537,1.666667,2.386938,0.866667,1.866667,0.733333,0
L_G12_PSI05_V001_W0039,L_G12_PSI05_V001,39,30,2.1,4.0,1.337494,0.9,1.8,1.788889,1.666667,2.076939,0.766667,1.7,0.433333,0
L_G14_PSI05_V001_W0000,L_G14_PSI05_V001,0,30,0.7,3.0,1.202941,0.3,1.1,1.447067,0.0,0.0,0.0,0.0,0.7,0
L_G14_PSI05_V001_W0001,L_G14_PSI05_V001,1,30,2.2,5.0,1.634899,0.8,1.8,2.672893,0.7,1.202941,0.3,1.1,1.5,0
L_G14_PSI05_V001_W0002,L_G14_PSI05_V001,2,30,0.8,2.0,1.032796,0.4,1.4,1.066667,1.45,1.41892,0.55,1.45,-0.65,0
L_G14_PSI05_V001_W0003,L_G14_PSI05_V001,3,30,1.3,3.0,1.159502,0.6,1.4,1.344444,1.233333,1.290212,0.5,1.433333,0.066667,0
L_G14_PSI05_V001_W0004,L_G14_PSI05_V001,4,30,0.0,2.0,0.740629,0.7,1.0,0.548532,1.433333,1.275732,0.6,1.533333,-1.433333,1
L_G14_PSI05_V001_W0005,L_G14_PSI05_V001,5,30,0.0,2.0,1.53795,0.5,1.8,2.36529,0.7,0.977642,0.566667,1.266667,-0.7,1
L_G14_PSI05_V001_W0006,L_G14_PSI05_V001,6,30,9.6,14.0,4.131821,1.0,3.6,17.071946,0.433333,1.146027,0.6,1.4,9.166667,1
L_G14_PSI05_V001_W0007,L_G14_PSI05_V001,7,30,11.1,13.0,3.203491,0.9,4.2,10.262357,3.2,2.1368,0.733333,2.133333,7.9,1
L_G14_PSI05_V001_W0008,L_G14_PSI05_V001,8,30,11.7,17.0,3.492377,1.0,3.7,12.196698,6.9,2.957754,0.8,3.2,4.8,1
L_G14_PSI05_V001_W0009,L_G14_PSI05_V001,9,30,8.0,13.0,2.770268,1.0,3.3,7.674385,10.8,3.60923,0.966667,3.833333,-2.8,1
L_G14_PSI05_V001_W0010,L_G14_PSI05_V001,10,30,12.2,21.0,4.130027,1.0,5.6,17.057123,10.266667,3.155379,0.966667,3.733333,1.933333,1
L_G14_PSI05_V001_W0011,L_G14_PSI05_V001,11,30,13.1,17.0,3.270352,1.0,3.7,10.695205,10.633333,3.464224,1.0,4.2,2.466667,1
L_G14_PSI05_V001_W0012,L_G14_PSI05_V001,12,30,6.6,12.0,2.475399,1.0,4.7,6.127601,11.1,3.390216,1.0,4.2,-4.5,1
L_G14_PSI05_V001_W0013,L_G14_PSI05_V001,13,30,8.3,15.0,3.70512,0.9,4.5,13.727917,10.633333,3.291926,1.0,4.666667,-2.333333,1
L_G14_PSI05_V001_W0014,L_G14_PSI05_V001,14,30,9.0,11.0,2.249654,1.0,2.7,5.060943,9.333333,3.150291,0.966667,4.3,-0.333333,1
L_G14_PSI05_V001_W0015,L_G14_PSI05_V001,15,30,8.1,15.0,4.488958,0.9,3.2,20.150748,7.966667,2.810058,0.966667,3.966667,0.133333,1
L_G14_PSI05_V001_W0016,L_G14_PSI05_V001,16,30,7.3,15.0,3.875965,1.0,4.3,15.023107,8.466667,3.481244,0.933333,3.466667,-1.166667,1
L_G14_PSI05_V001_W0017,L_G14_PSI05_V001,17,30,6.9,13.0,2.337188,1.0,4.2,5.462449,8.133333,3.538193,0.966667,3.4,-1.233333,1
L_G14_PSI05_V001_W0018,L_G14_PSI05_V001,18,30,12.0,18.0,3.182743,1.0,4.8,10.129854,7.433333,3.567371,0.966667,3.9,4.566667,1
L_G14_PSI05_V001_W0019,L_G14_PSI05_V001,19,30,8.3,10.0,2.670008,1.0,3.9,7.128943,8.733333,3.131966,1.0,4.433333,-0.433333,1
L_G14_PSI05_V001_W0020,L_G14_PSI05_V001,20,30,9.8,13.0,2.892632,1.0,3.2,8.367321,9.066667,2.72998,1.0,4.3,0.733333,1
L_G14_PSI05_V001_W0021,L_G14_PSI05_V001,21,30,3.1,9.0,2.984506,0.9,5.2,8.907278,10.033333,2.915128,1.0,3.966667,-6.933333,1
L_G14_PSI05_V001_W0022,L_G14_PSI05_V001,22,30,6.6,8.0,2.243546,1.0,4.1,5.033497,7.066667,2.849049,0.966667,4.1,-0.466667,1
L_G14_PSI05_V001_W0023,L_G14_PSI05_V001,23,30,12.8,18.0,2.962486,1.0,4.2,8.776323,6.5,2.706895,0.966667,4.166667,6.3,1
L_G14_PSI05_V001_W0024,L_G14_PSI05_V001,24,30,9.6,14.0,2.896811,1.0,6.4,8.391515,7.5,2.730179,0.966667,4.5,2.1,1
L_G14_PSI05_V001_W0025,L_G14_PSI05_V001,25,30,12.0,15.0,2.935926,1.0,4.7,8.619662,9.666667,2.700948,1.0,4.9,2.333333,1
L_G14_PSI05_V001_W0026,L_G14_PSI05_V001,26,30,12.1,18.0,4.226338,1.0,5.6,17.861933,11.466667,2.931741,1.0,5.1,0.633333,1
L_G14_PSI05_V001_W0027,L_G14_PSI05_V001,27,30,3.9,12.0,3.86055,1.0,3.1,14.903846,11.233333,3.353025,1.0,5.566667,-7.333333,1
L_G14_PSI05_V001_W0028,L_G14_PSI05_V001,28,30,4.8,14.0,4.462459,0.6,1.3,19.91354,9.333333,3.674271,1.0,4.466667,-4.533333,1
L_G14_PSI05_V001_W0029,L_G14_PSI05_V001,29,30,0.8,3.0,1.129527,0.4,1.3,1.275831,6.933333,4.183116,0.866667,3.333333,-6.133333,0
L_G16_PSI14_V001_W0000,L_G16_PSI14_V001,0,30,1.4,4.0,1.577621,0.5,1.5,2.488889,0.0,0.0,0.0,0.0,1.4,0
L_G16_PSI14_V001_W0002,L_G16_PSI14_V001,2,30,2.2,7.0,2.859681,0.5,1.5,8.177778,1.4,1.577621,0.5,1.5,0.8,0
L_G16_PSI14_V001_W0003,L_G16_PSI14_V001,3,30,4.8,12.0,4.022161,0.8,2.9,16.177778,1.8,2.218651,0.5,1.5,3.0,1
L_G16_PSI14_V001_W0004,L_G16_PSI14_V001,4,30,9.9,16.0,4.201851,1.0,4.0,17.655556,2.8,2.819821,0.6,1.966667,7.1,1
L_G16_PSI14_V001_W0005,L_G16_PSI14_V001,5,30,12.2,21.0,4.315347,1.0,4.7,18.622222,5.633333,3.694565,0.766667,2.8,6.566667,1
L_G16_PSI14_V001_W0006,L_G16_PSI14_V001,6,30,11.0,18.0,3.126944,1.0,5.0,9.777778,8.966667,4.179787,0.933333,3.866667,2.033333,1
L_G16_PSI14_V001_W0007,L_G16_PSI14_V001,7,30,9.1,18.0,5.40473,1.0,3.7,29.211111,11.033333,3.881381,1.0,4.566667,-1.933333,1
L_G16_PSI14_V001_W0008,L_G16_PSI14_V001,8,30,9.8,16.0,3.084009,1.0,3.8,9.511111,10.766667,4.282341,1.0,4.466667,-0.966667,1
L_G16_PSI14_V001_W0009,L_G16_PSI14_V001,9,30,9.7,14.0,2.668749,1.0,3.7,7.122222,9.966667,3.871894,1.0,4.166667,-0.266667,1
L_G16_PSI14_V001_W0010,L_G16_PSI14_V001,10,30,10.9,14.0,2.13177,1.0,4.5,4.544444,9.533333,3.719163,1.0,3.733333,1.366667,1
L_G16_PSI14_V001_W0011,L_G16_PSI14_V001,11,30,10.1,18.0,4.121758,1.0,3.9,16.988889,10.133333,2.628176,1.0,4.0,-0.033333,1
L_G16_PSI14_V001_W0012,L_G16_PSI14_V001,12,30,12.2,19.0,3.521363,1.0,4.2,12.4,10.233333,2.974092,1.0,4.033333,1.966667,1
L_G16_PSI14_V001_W0013,L_G16_PSI14_V001,13,30,11.6,16.0,3.339993,1.0,4.8,11.155556,11.066667,3.258297,1.0,4.2,0.533333,1
L_G16_PSI14_V001_W0014,L_G16_PSI14_V001,14,30,11.9,16.0,3.928528,1.0,3.2,15.433333,11.3,3.661038,1.0,4.3,0.6,1
L_G16_PSI14_V001_W0015,L_G16_PSI14_V001,15,30,9.6,17.0,4.033196,1.0,3.9,16.266667,11.9,3.596628,1.0,4.066667,-2.3,1
L_G16_PSI14_V001_W0016,L_G16_PSI14_V001,16,30,9.5,17.0,4.116363,1.0,4.0,16.944444,11.033333,3.767239,1.0,3.966667,-1.533333,1
L_G16_PSI14_V001_W0017,L_G16_PSI14_V001,17,30,11.6,19.0,4.325634,1.0,4.1,18.711111,10.333333,4.026029,1.0,3.7,1.266667,1
L_G16_PSI14_V001_W0018,L_G16_PSI14_V001,18,30,12.1,22.0,4.976612,1.0,4.3,24.766667,10.233333,4.158398,1.0,4.0,1.866667,1
L_G16_PSI14_V001_W0019,L_G16_PSI14_V001,19,30,10.5,17.0,4.116363,1.0,3.3,16.944444,11.066667,4.47287,1.0,4.133333,-0.566667,1
L_G16_PSI14_V001_W0020,L_G16_PSI14_V001,20,30,9.2,18.0,4.184628,1.0,3.2,17.511111,11.4,4.47287,1.0,3.9,-2.2,1
L_G16_PSI14_V001_W0021,L_G16_PSI14_V001,21,30,7.9,12.0,2.960856,1.0,3.6,8.766667,10.6,4.425868,1.0,3.6,-2.7,1
L_G16_PSI14_V001_W0022,L_G16_PSI14_V001,22,30,9.5,13.0,2.838231,1.0,3.9,8.055556,9.2,3.753949,1.0,3.366667,0.3,1
L_G16_PSI14_V001_W0023,L_G16_PSI14_V001,23,30,14.7,20.0,2.626785,1.0,4.6,6.9,8.866667,3.327905,1.0,3.566667,5.833333,1
L_G16_PSI14_V001_W0024,L_G16_PSI14_V001,24,30,10.9,19.0,4.012481,1.0,3.6,16.1,10.7,2.808624,1.0,4.033333,0.2,1
L_G16_PSI14_V001_W0025,L_G16_PSI14_V001,25,30,4.8,11.0,3.765339,0.8,2.5,14.177778,11.7,3.159166,1.0,4.033333,-6.9,1
L_G16_PSI14_V001_W0026,L_G16_PSI14_V001,26,30,2.2,8.0,3.29309,0.4,1.4,10.844444,10.133333,3.468202,0.933333,3.566667,-7.933333,1
L_G16_PSI14_V001_W0027,L_G16_PSI14_V001,27,30,2.6,7.0,2.366432,0.7,2.0,5.6,5.966667,3.690303,0.733333,2.5,-3.366667,0
L_G16_PSI14_V001_W0028,L_G16_PSI14_V001,28,30,0.7,3.0,1.159502,0.3,1.3,1.344444,3.2,3.14162,0.633333,1.966667,-2.5,0
L_G16_PSI14_V001_W0030,L_G16_PSI14_V001,30,30,1.8,4.0,1.398412,0.7,1.3,1.955556,1.833333,2.273008,0.466667,1.566667,-0.033333,0
L_G16_PSI14_V001_W0032,L_G16_PSI14_V001,32,30,1.1,4.0,1.523884,0.4,1.4,2.322222,1.7,1.641449,0.566667,1.533333,-0.6,0
L_G16_PSI14_V001_W0037,L_G16_PSI14_V001,37,30,0.9,5.0,1.66333,0.3,1.2,2.766667,1.2,1.360599,0.466667,1.333333,-0.3,0
L_G16_PSI22_V001_W0000,L_G16_PSI22_V001,0,30,1.0,6.0,1.979557,0.3,1.2,3.918646,0.0,0.0,0.0,0.0,1.0,0
L_G16_PSI22_V001_W0001,L_G16_PSI22_V001,1,30,1.5,7.0,2.434927,0.4,1.3,5.928869,1.0,1.979557,0.3,1.2,0.5,0
L_G16_PSI22_V001_W0002,L_G16_PSI22_V001,2,30,2.4,8.0,2.674987,0.6,2.1,7.155556,1.25,2.207242,0.35,1.25,1.15,0
L_G16_PSI22_V001_W0003,L_G16_PSI22_V001,3,30,1.6,9.0,3.944989,0.5,1.5,15.562938,1.633333,2.363157,0.433333,1.533333,-0.033333,1
L_G16_PSI22_V001_W0004,L_G16_PSI22_V001,4,30,8.0,13.0,3.062164,0.9,2.2,9.376849,1.833333,3.018301,0.5,1.633333,6.166667,1
L_G16_PSI22_V001_W0005,L_G16_PSI22_V001,5,30,7.6,12.0,3.584292,1.0,3.0,12.847149,4.0,3.22738,0.666667,1.933333,3.6,1
L_G16_PSI22_V001_W0006,L_G16_PSI22_V001,6,30,14.1,22.0,2.768919,1.0,4.3,7.666911,5.733333,3.530482,0.8,2.233333,8.366667,1
L_G16_PSI22_V001_W0007,L_G16_PSI22_V001,7,30,17.8,20.0,4.078406,1.0,4.5,16.633396,9.9,3.138458,0.966667,3.166667,7.9,1
L_G16_PSI22_V001_W0008,L_G16_PSI22_V001,8,30,17.2,23.0,4.760785,1.0,4.2,22.66507,13.166667,3.477206,1.0,3.933333,4.033333,1
L_G16_PSI22_V001_W0009,L_G16_PSI22_V001,9,30,16.6,19.0,3.863487,1.0,4.4,14.92653,16.366667,3.86937,1.0,4.333333,0.233333,1
L_G16_PSI22_V001_W0010,L_G16_PSI22_V001,10,30,9.0,17.0,4.905429,1.0,4.2,24.063233,17.2,4.234226,1.0,4.366667,-8.2,1
L_G16_PSI22_V001_W0011,L_G16_PSI22_V001,11,30,10.3,16.0,3.250128,1.0,5.5,10.563331,14.266667,4.5099,1.0,4.266667,-3.966667,1
L_G16_PSI22_V001_W0012,L_G16_PSI22_V001,12,30,20.4,28.0,3.908931,1.0,4.4,15.279739,11.966667,4.006348,1.0,4.7,8.433333,1
L_G16_PSI22_V001_W0013,L_G16_PSI22_V001,13,30,19.2,26.0,3.649857,1.0,4.0,13.321454,13.233333,4.021496,1.0,4.7,5.966667,1
L_G16_PSI22_V001_W0014,L_G16_PSI22_V001,14,30,19.2,24.0,3.690802,1.0,4.3,13.62202,16.633333,3.602972,1.0,4.633333,2.566667,1
L_G16_PSI22_V001_W0015,L_G16_PSI22_V001,15,30,17.1,20.0,3.34279,1.0,4.9,11.174246,19.6,3.749863,1.0,4.233333,-2.5,1
L_G16_PSI22_V001_W0016,L_G16_PSI22_V001,16,30,17.5,31.0,7.32719,1.0,4.8,53.687717,18.5,3.56115,1.0,4.4,-1.0,1
L_G16_PSI22_V001_W0017,L_G16_PSI22_V001,17,30,13.9,22.0,3.681024,1.0,3.6,13.549937,17.933333,4.786928,1.0,4.666667,-4.033333,1
L_G16_PSI22_V001_W0018,L_G16_PSI22_V001,18,30,14.4,18.0,4.119619,1.0,6.1,16.971261,16.166667,4.783668,1.0,4.433333,-1.766667,1
L_G16_PSI22_V001_W0019,L_G16_PSI22_V001,19,30,16.2,21.0,4.264311,1.0,6.3,18.184348,15.266667,5.042611,1.0,4.833333,0.933333,1
L_G16_PSI22_V001_W0020,L_G16_PSI22_V001,20,30,11.5,13.0,3.473032,1.0,4.8,12.061952,14.833333,4.021651,1.0,5.333333,-3.333333,1
L_G16_PSI22_V001_W0021,L_G16_PSI22_V001,21,30,1.3,6.0,2.01955,0.9,1.2,4.078583,14.033333,3.952321,1.0,5.733333,-12.733333,1
L_G16_PSI22_V001_W0022,L_G16_PSI22_V001,22,30,3.0,3.0,0.358618,1.0,2.4,0.128607,9.666667,3.252298,0.966667,4.1,-6.666667,0
L_G16_PSI22_V001_W0023,L_G16_PSI22_V001,23,30,1.4,5.0,1.755011,0.5,1.3,3.080063,5.266667,1.9504,0.966667,2.8,-3.866667,0
L_G16_PSI22_V001_W0024,L_G16_PSI22_V001,24,30,0.7,3.0,1.159502,0.3,1.3,1.344444,1.9,1.377726,0.8,1.633333,-1.2,0
L_G16_PSI22_V001_W0025,L_G16_PSI22_V001,25,30,1.9,8.0,2.96509,0.3,1.3,8.791761,1.7,1.091043,0.6,1.666667,0.2,0
L_G18_PSI26_V001_W0002,L_G18_PSI26_V001,2,30,2.4,10.0,3.313081,0.6,1.6,10.976505,0.0,0.0,0.0,0.0,2.4,0
L_G18_PSI26_V001_W0003,L_G18_PSI26_V001,3,30,1.3,4.0,1.367729,0.6,1.9,1.870681,2.4,3.313081,0.6,1.6,-1.1,0
L_G18_PSI26_V001_W0004,L_G18_PSI26_V001,4,30,9.4,15.0,4.524912,1.0,2.1,20.474829,1.85,2.340405,0.6,1.75,7.55,1
L_G18_PSI26_V001_W0005,L_G18_PSI26_V001,5,30,17.7,18.0,5.942936,1.0,3.8,35.318487,4.366667,3.068574,0.733333,1.866667,13.333333,1
L_G18_PSI26_V001_W0006,L_G18_PSI26_V001,6,30,17.6,24.0,3.679859,1.0,3.8,13.541364,9.466667,3.945192,0.866667,2.6,8.133333,1
L_G18_PSI26_V001_W0007,L_G18_PSI26_V001,7,30,22.2,26.0,4.123578,1.0,3.8,17.003897,14.9,4.715902,1.0,3.233333,7.3,1
L_G18_PSI26_V001_W0008,L_G18_PSI26_V001,8,30,16.1,21.0,4.404234,1.0,5.4,19.397273,19.166667,4.582124,1.0,3.8,-3.066667,1
L_G18_PSI26_V001_W0009,L_G18_PSI26_V001,9,30,16.8,24.0,4.314262,1.0,4.2,18.612857,18.633333,4.069224,1.0,4.333333,-1.833333,1
L_G18_PSI26_V001_W0010,L_G18_PSI26_V001,10,30,16.2,22.0,3.686737,1.0,5.0,13.592029,18.366667,4.280691,1.0,4.466667,-2.166667,1
L_G18_PSI26_V001_W0011,L_G18_PSI26_V001,11,30,14.6,21.0,2.720802,1.0,4.1,7.402764,16.366667,4.135078,1.0,4.866667,-1.766667,1
L_G18_PSI26_V001_W0012,L_G18_PSI26_V001,12,30,13.9,20.0,4.467798,1.0,3.0,19.961222,15.866667,3.573934,1.0,4.433333,-1.966667,1
L_G18_PSI26_V001_W0013,L_G18_PSI26_V001,13,30,18.4,26.0,4.222106,1.0,3.8,17.826181,14.9,3.625112,1.0,4.033333,3.5,1
L_G18_PSI26_V001_W0014,L_G18_PSI26_V001,14,30,11.9,17.0,3.27913,1.0,4.8,10.752696,15.633333,3.803569,1.0,3.633333,-3.733333,1
L_G18_PSI26_V001_W0015,L_G18_PSI26_V001,15,30,8.0,15.0,3.967569,1.0,4.9,15.741602,14.733333,3.989678,1.0,3.866667,-6.733333,1
L_G18_PSI26_V001_W0016,L_G18_PSI26_V001,16,30,13.6,20.0,4.342881,1.0,4.2,18.860615,12.766667,3.822935,1.0,4.5,0.833333,1
L_G18_PSI26_V001_W0017,L_G18_PSI26_V001,17,30,2.9,9.0,2.568066,1.0,4.5,6.594963,11.166667,3.863193,1.0,4.633333,-8.266667,1
L_G18_PSI26_V001_W0018,L_G18_PSI26_V001,18,30,16.8,25.0,3.561319,1.0,8.0,12.682995,8.166667,3.626172,1.0,4.533333,8.633333,1
L_G18_PSI26_V001_W0019,L_G18_PSI26_V001,19,30,9.9,16.0,4.783695,1.0,4.5,22.883734,11.1,3.490755,1.0,5.566667,-1.2,1
L_G18_PSI26_V001_W0020,L_G18_PSI26_V001,20,30,9.7,11.0,2.376149,1.0,2.6,5.646085,9.866667,3.637693,1.0,5.666667,-0.166667,1
L_G18_PSI26_V001_W0021,L_G18_PSI26_V001,21,30,9.3,17.0,3.916329,1.0,2.7,15.337635,12.133333,3.573721,1.0,5.033333,-2.833333,1
L_G18_PSI26_V001_W0022,L_G18_PSI26_V001,22,30,2.2,4.0,1.185947,0.9,1.2,1.406469,9.633333,3.692058,1.0,3.266667,-7.433333,0
L_G18_PSI26_V001_W0023,L_G18_PSI26_V001,23,30,2.4,8.0,2.674987,0.6,2.1,7.155556,7.066667,2.492808,0.966667,2.166667,-4.666667,0
L_G18_PSI26_V001_W0024,L_G18_PSI26_V001,24,30,0.9,5.0,1.66333,0.3,1.2,2.766667,4.633333,2.592421,0.833333,2.0,-3.733333,0
L_G18_PSI26_V001_W0025,L_G18_PSI26_V001,25,30,1.1,4.0,1.523884,0.4,1.4,2.322222,1.833333,1.841421,0.6,1.5,-0.733333,0
L_G20_PSI18_V001_W0003,L_G20_PSI18_V001,3,30,1.2,5.0,2.306875,0.1,1.5,5.321673,0.0,0.0,0.0,0.0,1.2,0
L_G20_PSI18_V001_W0004,L_G20_PSI18_V001,4,30,3.2,13.0,4.581755,1.0,3.5,20.992482,1.2,2.306875,0.1,1.5,2.0,1
L_G20_PSI18_V001_W0005,L_G20_PSI18_V001,5,30,9.9,18.0,4.629814,1.0,3.4,21.435173,2.2,3.444315,0.55,2.5,7.7,1
L_G20_PSI18_V001_W0006,L_G20_PSI18_V001,6,30,14.8,18.0,3.462432,1.0,4.7,11.988433,4.766667,3.839481,0.7,2.8,10.033333,1
L_G20_PSI18_V001_W0007,L_G20_PSI18_V001,7,30,14.5,23.0,5.290685,1.0,6.1,27.99135,9.3,4.224667,1.0,3.866667,5.2,1
L_G20_PSI18_V001_W0008,L_G20_PSI18_V001,8,30,17.8,20.0,4.275807,1.0,4.1,18.282527,13.066667,4.460977,1.0,4.733333,4.733333,1
L_G20_PSI18_V001_W0009,L_G20_PSI18_V001,9,30,20.9,26.0,3.675222,1.0,6.0,13.507256,15.7,4.342975,1.0,4.966667,5.2,1
L_G20_PSI18_V001_W0010,L_G20_PSI18_V001,10,30,18.4,25.0,2.89634,1.0,5.1,8.388785,17.733333,4.413905,1.0,5.4,0.666667,1
L_G20_PSI18_V001_W0011,L_G20_PSI18_V001,11,30,17.5,27.0,5.77003,1.0,3.5,33.293243,19.033333,3.61579,1.0,5.066667,-1.533333,1
